model,accuracy,macro_precision,macro_recall,macro_f1_score,weighted_f1_score
Logistic Regression,0.865,0.8053261077158136,0.8035714285714286,0.8040594418267488,0.8649291151038162
Gradient Boosting Classifier,0.765,0.7515700483091787,0.677579365079365,0.7040127886942852,0.7614587030764989
Random Forest Classifier,0.74,0.6785984848484848,0.6912698412698413,0.6842125306510795,0.7419687992968442
Decision Tree Classifier,0.655,0.5650217170826352,0.5793650793650794,0.5689507614269913,0.6593229724143325
